imie,drugie_imie,nazwisko,tytul_naukowy,data_urodzenia,data_rozpoczecia_studiow,data_zakonczenia_studiow
Klaudia,Kamila,Sokołowska,,1958-09-21,1984-05-16,1985-02-03
Ludmiła,Wiesława,Nowak,,1954-01-07,1981-08-19,1982-12-18
Nina,Renata,Urban,,1996-11-04,2022-01-06,
Sylwia,Urszula,Wysocka,,1956-01-24,1977-09-24,1979-04-15
Barbara,Janina,Krupa,,1954-09-18,1973-09-02,1974-12-11
Agata,Cecylia,Krupa,,1971-03-25,2000-07-24,2002-01-31
Beata,Marlena,Włodarczyk,,1992-09-23,2016-07-02,
Amelia,Melania,Markowska,,1957-11-15,1986-01-24,1986-08-04
Gabriela,Irmina,Klimek,Licencjat,1972-12-15,2009-08-18,2009-09-09
Daria,Sylwia,Adamczyk,Licencjat,1990-11-11,2015-03-22,
