imie,drugie_imie,nazwisko,tytul_naukowy,data_urodzenia,data_zatrudnienia,data_zakonczenia_pracy,numer_umowy
Daria,Natalia,Michalak,Doktor,1993-10-29,2021-11-26,,FAN_3627191176
Lucyna,Bernadeta,Górska,Doktor,1996-10-02,2023-11-25,2024-06-30,IGR_2357451672
Jagoda,Hanna,Markowska,Doktor,1986-06-08,2015-12-13,2017-07-17,RYP_3330423506
Olga,Lidia,Polak,Doktor Habilitowany,1991-10-24,2018-07-18,,BMD_1993601300
Blanka,Felicja,Szewczyk,Doktor,1990-11-07,2018-12-08,2020-09-29,QIN_2293663467
Malwina,Barbara,Tomaszewska,Doktor Habilitowany,1977-01-20,2023-01-12,,IMY_0300680305
Rozalia,Teresa,Sikora,Doktor,2000-06-09,2023-11-07,2024-02-16,ZQD_4917373424
Małgorzata,Nikola,Lis,Doktor,1976-05-29,2016-05-12,,BLL_8516625394
Felicja,Blanka,Cieślak,Doktor Habilitowany,1959-11-08,2001-04-15,2016-08-15,URJ_5768994706
Małgorzata,Genowefa,Klimek,Magister Inżynier,1968-03-17,2010-08-07,2014-05-03,KFM_8940730522
